You have specified parameters: threshold=mu+/-0.10*sigma #fea=200 selection method=MID #maxVar=14337 #maxSample=12236

Target classification variable (#1 column in the input data) has name=class 	entropy score=1.000

*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 8061 	 v8060 	 0.026
2 	 8348 	 v8347 	 0.025
3 	 8161 	 v8160 	 0.024
4 	 8483 	 v8482 	 0.024
5 	 8330 	 v8329 	 0.024
6 	 8448 	 v8447 	 0.024
7 	 8466 	 v8465 	 0.023
8 	 7979 	 v7978 	 0.023
9 	 8204 	 v8203 	 0.023
10 	 8409 	 v8408 	 0.023
11 	 8143 	 v8142 	 0.023
12 	 8177 	 v8176 	 0.023
13 	 8144 	 v8143 	 0.023
14 	 8123 	 v8122 	 0.023
15 	 8399 	 v8398 	 0.023
16 	 8180 	 v8179 	 0.022
17 	 8213 	 v8212 	 0.022
18 	 7977 	 v7976 	 0.021
19 	 8443 	 v8442 	 0.021
20 	 8345 	 v8344 	 0.021
21 	 8280 	 v8279 	 0.021
22 	 8157 	 v8156 	 0.021
23 	 7978 	 v7977 	 0.021
24 	 8034 	 v8033 	 0.021
25 	 8181 	 v8180 	 0.021
26 	 8400 	 v8399 	 0.021
27 	 8453 	 v8452 	 0.021
28 	 8212 	 v8211 	 0.021
29 	 8367 	 v8366 	 0.021
30 	 8117 	 v8116 	 0.021
31 	 8355 	 v8354 	 0.021
32 	 8067 	 v8066 	 0.020
33 	 8159 	 v8158 	 0.020
34 	 8146 	 v8145 	 0.020
35 	 8222 	 v8221 	 0.020
36 	 8318 	 v8317 	 0.020
37 	 8493 	 v8492 	 0.020
38 	 8467 	 v8466 	 0.020
39 	 8135 	 v8134 	 0.020
40 	 8163 	 v8162 	 0.020
41 	 8022 	 v8021 	 0.020
42 	 8450 	 v8449 	 0.020
43 	 8492 	 v8491 	 0.020
44 	 8207 	 v8206 	 0.020
45 	 8451 	 v8450 	 0.020
46 	 8490 	 v8489 	 0.020
47 	 8150 	 v8149 	 0.020
48 	 8465 	 v8464 	 0.020
49 	 8452 	 v8451 	 0.020
50 	 8494 	 v8493 	 0.020
51 	 8491 	 v8490 	 0.020
52 	 8208 	 v8207 	 0.020
53 	 8133 	 v8132 	 0.020
54 	 8076 	 v8075 	 0.020
55 	 8205 	 v8204 	 0.020
56 	 8484 	 v8483 	 0.020
57 	 8245 	 v8244 	 0.020
58 	 8364 	 v8363 	 0.019
59 	 8114 	 v8113 	 0.019
60 	 7968 	 v7967 	 0.019
61 	 8010 	 v8009 	 0.019
62 	 8038 	 v8037 	 0.019
63 	 8485 	 v8484 	 0.019
64 	 8487 	 v8486 	 0.019
65 	 8486 	 v8485 	 0.019
66 	 8016 	 v8015 	 0.019
67 	 7975 	 v7974 	 0.019
68 	 8319 	 v8318 	 0.019
69 	 8346 	 v8345 	 0.019
70 	 8496 	 v8495 	 0.019
71 	 8206 	 v8205 	 0.019
72 	 8020 	 v8019 	 0.019
73 	 8176 	 v8175 	 0.019
74 	 8349 	 v8348 	 0.019
75 	 8317 	 v8316 	 0.019
76 	 8019 	 v8018 	 0.019
77 	 8023 	 v8022 	 0.019
78 	 8475 	 v8474 	 0.019
79 	 8286 	 v8285 	 0.019
80 	 7986 	 v7985 	 0.019
81 	 8403 	 v8402 	 0.018
82 	 8482 	 v8481 	 0.018
83 	 8392 	 v8391 	 0.018
84 	 8107 	 v8106 	 0.018
85 	 8071 	 v8070 	 0.018
86 	 8412 	 v8411 	 0.018
87 	 8078 	 v8077 	 0.018
